t,y1,y2,H
7.02,-0.358949732795537,0.768398248882588,-0.5
7.05,-0.393020666426781,0.774424997010465,-0.5
7.08,-0.426551956365604,0.779386452519143,-0.5
7.11,-0.45953619089019,0.783346721578737,-0.5
7.14,-0.491968540899113,0.786364868636851,-0.5
7.17,-0.523846281419268,0.788495382175676,-0.5
7.2,-0.555168399213042,0.78978859744143,-0.5
7.23,-0.58593527041775,0.790291078750443,-0.5
7.26,-0.616148395263633,0.790045964417336,-0.5
7.29,-0.645810179413428,0.789093277500683,-0.5
7.32,-0.674923753467708,0.787470205530533,-0.5
7.35,-0.703492823784889,0.785211352243626,-0.5
7.38,-0.731521549052753,0.782348964154276,-0.5
7.41,-0.759014438083708,0.778913134563064,-0.5
7.44,-0.785976265139767,0.774931987371724,-0.5
7.47,-0.812411999766091,0.77043184284301,-0.5
7.5,-0.838326748656154,0.765437367226324,-0.5
7.53,-0.863725707512812,0.759971707967159,-0.5
7.56,-0.888614121228156,0.754056616032844,-0.5
7.59,-0.912997250997207,0.747712556718883,-0.5
7.62,-0.936880347219135,0.740958810149033,-0.5
7.65,-0.960268627235155,0.733813562547035,-0.5
7.68,-0.983167257112623,0.726293989237577,-0.5
7.71,-1.0055813368169,0.718416330227142,-0.5
7.74,-1.02751588822145,0.710195959120703,-0.5
7.77,-1.04897584549665,0.701647446046364,-0.5
7.8,-1.06996604749239,0.692784615185962,-0.5
7.83,-1.09049123179164,0.683620597444116,-0.5
7.86,-1.11055603016352,0.674167878730296,-0.5
7.89,-1.13016496518764,0.664438344277333,-0.5
7.92,-1.14932244785723,0.654443319374514,-0.5
7.95,-1.16803277599901,0.644193606853377,-0.5
7.98,-1.18630013337256,0.633699521628842,-0.5
8.01,-1.20412858933347,0.622970922566946,-0.5
8.04,-1.22152209896246,0.612017241922544,-0.5
8.07,-1.23848450357744,0.600847512565634,-0.5
8.1,-1.2550195315584,0.589470393192987,-0.5
8.13,-1.27113079942583,0.577894191702198,-0.5
8.16,-1.28682181312213,0.566126886887887,-0.5
8.19,-1.30209596945365,0.55417614860426,-0.5
8.22,-1.31695655765719,0.542049356524372,-0.5
8.25,-1.3314067610604,0.529753617614091,-0.5
8.28,-1.34544965881043,0.517295782427673,-0.5
8.31,-1.35908822764901,0.504682460321971,-0.5
8.34,-1.37232534371562,0.491920033677396,-0.5
8.37,-1.38516378436328,0.479014671205793,-0.5
8.4,-1.39760622997416,0.465972340418246,-0.5
8.43,-1.40965526576402,0.452798819319346,-0.5
8.46,-1.42131338356655,0.439499707388719,-0.5
8.49,-1.43258298359003,0.426080435905324,-0.5
8.52,-1.44346637614028,0.412546277665384,-0.5
8.55,-1.45396578330464,0.398902356140494,-0.5
8.58,-1.46408334059298,0.385153654118667,-0.5
8.61,-1.47382109853236,0.37130502186755,-0.5
8.64,-1.48318102421277,0.357361184855941,-0.5
8.67,-1.4921650027817,0.343326751066844,-0.5
8.7,-1.50077483888629,0.329206217932747,-0.5
8.73,-1.50901225806147,0.315003978921451,-0.5
8.76,-1.5168789080637,0.300724329798643,-0.5
8.79,-1.52437636014941,0.28637147459149,-0.5
8.82,-1.53150611029809,0.271949531275759,-0.5
8.85,-1.53826958037976,0.257462537207389,-0.5
8.88,-1.54466811926705,0.242914454317973,-0.5
8.91,-1.55070300389186,0.22830917409231,-0.5
8.94,-1.55637544024714,0.213650522344977,-0.5
8.97,-1.56168656433392,0.198942263811792,-0.5
9,-1.56663744305419,0.18418810657104,-0.5
9.03,-1.57122907505009,0.169391706308456,-0.5
9.06,-1.57546239148981,0.154556670439138,-0.5
9.09,-1.57933825680078,0.139686562098829,-0.5
9.12,-1.58285746935081,0.124784904016356,-0.5
9.15,-1.58602076207743,0.109855182278402,-0.5
9.18,-1.58882880306624,0.0949008499972697,-0.5
9.21,-1.59128219607856,0.0799253308918192,-0.5
9.24,-1.59338148102897,0.0649320227913169,-0.5
9.27,-1.59512713441317,0.0499243010715918,-0.5
9.3,-1.5965195696866,0.0349055220325484,-0.5
9.33,-1.59755913759416,0.0198790262258133,-0.5
9.36,-1.59824612645143,0.0048481417410548,-0.5
9.39,-1.5985807623778,-0.0101838125406814,-0.5
9.42,-1.59856320948156,-0.025213523718435,-0.5
9.45,-1.59819356999747,-0.0402376816595219,-0.5
9.48,-1.5974718843768,-0.0552529757964681,-0.5
9.51,-1.59639813133018,-0.0702560919247393,-0.5
9.54,-1.59497222782326,-0.0852437089933301,-0.5
9.57,-1.59319402902527,-0.100212495880245,-0.5
9.6,-1.5910633282107,-0.11515910814484,-0.5
9.63,-1.58857985661392,-0.130080184748877,-0.5
9.66,-1.58574328323679,-0.14497234473803,-0.5
9.69,-1.58255321460932,-0.159832183875363,-0.5
9.72,-1.57900919450313,-0.174656271218114,-0.5
9.75,-1.57511070359775,-0.189441145628825,-0.5
9.78,-1.57085715909955,-0.204183312211586,-0.5
9.81,-1.56624791431333,-0.218879238663769,-0.5
9.84,-1.56128225816612,-0.233525351533255,-0.5
9.87,-1.55595941468346,-0.248118032370694,-0.5
9.9,-1.55027854241762,-0.26265361376582,-0.5
